,Clinic - Ambulatory Surgical Center January 2020,,,,,,,
52317,Remove bladder stone,  ,                                        ,ASC,333,10/1/08,12/31/99, 
52318,Remove bladder stone,  ,                                        ,ASC,446,10/1/08,12/31/99, 
52320,Cystoscopy and treatment,  ,                                        ,ASC,717,10/1/08,12/31/99, 
52325,Cystoscopy stone removal,  ,                                        ,ASC,630,10/1/08,12/31/99, 
52327,Cystoscopy inject material,  ,                                        ,ASC,446,10/1/08,12/31/99, 
52330,Cystoscopy and treatment,  ,                                        ,ASC,446,10/1/08,12/31/99, 
52332,Cystoscopy and treatment,  ,                                        ,ASC,446,10/1/08,12/31/99, 
52334,Create passage to kidney,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52341,Cysto w/ureter stricture tx,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52342,Cysto w/up stricture tx,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52343,Cysto w/renal stricture tx,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52344,Cysto/uretero stricture tx,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52345,Cysto/uretero w/up stricture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52346,Cystouretero w/renal strict,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52351,Cystouretero & or pyeloscope,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52352,Cystouretero w/stone remove,  ,                                        ,ASC,630,10/1/08,12/31/99, 
52353,Cystouretero w/lithotripsy,  ,                                        ,ASC,630,10/1/08,12/31/99, 
52354,Cystouretero w/biopsy,  ,                                        ,ASC,630,10/1/08,12/31/99, 
52355,Cystouretero w/excise tumor,  ,                                        ,ASC,630,10/1/08,12/31/99, 
52400,Cystouretero w/congen repr,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52402,Cystourethro cut ejacul duct,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52450,Incision of prostate,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52500,Revision of bladder neck,  ,                                        ,ASC,510,10/1/08,12/31/99, 
52601,Prostatectomy (turp),  ,                                        ,ASC,630,10/1/08,12/31/99, 
52630,Remove prostate regrowth,  ,                                        ,ASC,446,10/1/08,12/31/99, 
52640,Relieve bladder contracture,  ,                                        ,ASC,446,10/1/08,12/31/99, 
52647,Laser surgery of prostate,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
52648,Laser surgery of prostate,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
52700,Drainage of prostate abscess,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53000,Incision of urethra,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53010,Incision of urethra,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53020,Incision of urethra,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53040,Drainage of urethra abscess,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53080,Drainage of urinary leakage,  ,                                        ,ASC,510,10/1/08,12/31/99, 
53200,Biopsy of urethra,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53210,Removal of urethra,  ,                                        ,ASC,717,10/1/08,12/31/99, 
53215,Removal of urethra,  ,                                        ,ASC,717,10/1/08,12/31/99, 
53220,Treatment of urethra lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53230,Removal of urethra lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53235,Removal of urethra lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
53240,Surgery for urethra pouch,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53250,Removal of urethra gland,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53260,Treatment of urethra lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53265,Treatment of urethra lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53270,Removal of urethra gland,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53275,Repair of urethra defect,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53400,Revise urethra stage 1,  ,                                        ,ASC,510,10/1/08,12/31/99, 
53405,Revise urethra stage 2,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53410,Reconstruction of urethra,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53420,Reconstruct urethra stage 1,  ,                                        ,ASC,510,10/1/08,12/31/99, 
53425,Reconstruct urethra stage 2,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53430,Reconstruction of urethra,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53431,Reconstruct urethra/bladder,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53440,Male sling procedure,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53442,Remove/revise male sling,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53444,Insert tandem cuff,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53445,Insert uro/ves nck sphincter,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53446,Remove uro sphincter,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53447,Remove/replace ur sphincter,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53449,Repair uro sphincter,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53450,Revision of urethra,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53460,Revision of urethra,  ,                                        ,ASC,333,10/1/08,12/31/99, 
53502,Repair of urethra injury,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53505,Repair of urethra injury,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53510,Repair of urethra injury,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53515,Repair of urethra injury,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53520,Repair of urethra defect,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53605,Dilate urethra stricture,  ,                                        ,ASC,446,10/1/08,12/31/99, 
53665,Dilation of urethra,  ,                                        ,ASC,333,10/1/08,12/31/99, 
54000,Slitting of prepuce,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54001,Slitting of prepuce,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54015,Drain penis lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54057,Laser surg penis lesion(s),  ,                                        ,ASC,333,10/1/08,12/31/99, 
54060,Excision of penis lesion(s),  ,                                        ,ASC,333,10/1/08,12/31/99, 
54065,Destruction penis lesion(s),  ,                                        ,ASC,333,10/1/08,12/31/99, 
54100,Biopsy of penis,  ,                                        ,ASC,333,10/1/08,12/31/99, 
54105,Biopsy of penis,  ,                                        ,ASC,333,10/1/08,12/31/99, 
54110,Treatment of penis lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54111,Treat penis lesion graft,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54112,Treat penis lesion graft,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54115,Treatment of penis lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
54120,Partial removal of penis,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54150,Circumcision w/regionl block,  ,                                        ,ASC,333,10/1/08,12/31/99, 
54160,Circumcision neonate,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54161,Circum 28 days or older,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54162,Lysis penil circumic lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54163,Repair of circumcision,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54164,Frenulotomy of penis,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54205,Treatment of penis lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54220,Treatment of penis lesion,  ,                                        ,ASC,131.5,10/1/08,12/31/99, 
54300,Revision of penis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54304,Revision of penis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54308,Reconstruction of urethra,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54312,Reconstruction of urethra,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54316,Reconstruction of urethra,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54318,Reconstruction of urethra,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54322,Reconstruction of urethra,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54324,Reconstruction of urethra,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54326,Reconstruction of urethra,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54328,Revise penis/urethra,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54340,Secondary urethral surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54344,Secondary urethral surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54348,Secondary urethral surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54352,Reconstruct urethra/penis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54360,Penis plastic surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54380,Repair penis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54385,Repair penis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54400,Insert semi-rigid prosthesis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54401,Insert self-contd prosthesis,  ,                                        ,ASC,510,10/1/08,12/31/99,Y
54405,Insert multi-comp penis pros,  ,                                        ,ASC,510,10/1/08,12/31/99,Y
54406,Remove muti-comp penis pros,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54408,Repair multi-comp penis pros,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54410,Remove/replace penis prosth,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54415,Remove self-contd penis pros,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54416,Remv/repl penis contain pros,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54420,Revision of penis,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54435,Revision of penis,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54437,Repair corporeal tear,  ,                                        ,ASC,630,1/1/16,12/31/99, 
54438,Replantation of penis,  ,                                        ,ASC,630,1/1/16,12/31/99, 
54440,Repair of penis,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54450,Preputial stretching,  ,                                        ,ASC,209.48,10/1/08,12/31/99, 
54500,Biopsy of testis,  ,                                        ,ASC,333,10/1/08,12/31/99, 
54505,Biopsy of testis,  ,                                        ,ASC,333,10/1/08,12/31/99, 
54512,Excise lesion testis,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54520,Removal of testis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54522,Orchiectomy partial,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54530,Removal of testis,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54550,Exploration for testis,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54600,Reduce testis torsion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54620,Suspension of testis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54640,Orchiopexy ingun/scrot appr,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54660,Revision of testis,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54670,Repair testis injury,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54680,Relocation of testis(es),  ,                                        ,ASC,510,10/1/08,12/31/99, 
54690,Laparoscopy orchiectomy,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
54700,Drainage of scrotum,  ,                                        ,ASC,446,10/1/08,12/31/99, 
54800,Biopsy of epididymis,  ,                                        ,ASC,127.16,10/1/08,12/31/99, 
54830,Remove epididymis lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54840,Remove epididymis lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54860,Removal of epididymis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
54861,Removal of epididymis,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54865,Explore epididymis,  ,                                        ,ASC,333,10/1/08,12/31/99, 
54900,Fusion of spermatic ducts,  ,                                        ,ASC,630,10/1/08,12/31/99, 
54901,Fusion of spermatic ducts,  ,                                        ,ASC,630,10/1/08,12/31/99, 
55040,Removal of hydrocele,  ,                                        ,ASC,510,10/1/08,12/31/99, 
55041,Removal of hydroceles,  ,                                        ,ASC,717,10/1/08,12/31/99, 
55060,Repair of hydrocele,  ,                                        ,ASC,630,10/1/08,12/31/99, 
55100,Drainage of scrotum abscess,  ,                                        ,ASC,333,10/1/08,12/31/99, 
55110,Explore scrotum,  ,                                        ,ASC,446,10/1/08,12/31/99, 
55120,Removal of scrotum lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
55150,Removal of scrotum,  ,                                        ,ASC,333,10/1/08,12/31/99, 
55175,Revision of scrotum,  ,                                        ,ASC,333,10/1/08,12/31/99, 
55180,Revision of scrotum,  ,                                        ,ASC,446,10/1/08,12/31/99, 
55200,Incision of sperm duct,  ,                                        ,ASC,446,10/1/08,12/31/99, 
55250,Removal of sperm duct(s),  ,                                        ,ASC,446,10/1/08,12/31/99, 
55500,Removal of hydrocele,  ,                                        ,ASC,510,10/1/08,12/31/99, 
55520,Removal of sperm cord lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
55530,Revise spermatic cord veins,  ,                                        ,ASC,630,10/1/08,12/31/99, 
55535,Revise spermatic cord veins,  ,                                        ,ASC,630,10/1/08,12/31/99, 
55540,Revise hernia & sperm veins,  ,                                        ,ASC,717,10/1/08,12/31/99, 
55550,Laparo ligate spermatic vein,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
55680,Remove sperm pouch lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
55700,Biopsy of prostate,  ,                                        ,ASC,345.83,10/1/08,12/31/99, 
55705,Biopsy of prostate,  ,                                        ,ASC,345.83,10/1/08,12/31/99, 
55720,Drainage of prostate abscess,  ,                                        ,ASC,333,10/1/08,12/31/99, 
55725,Drainage of prostate abscess,  ,                                        ,ASC,446,10/1/08,12/31/99, 
55873,Cryoablate prostate,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
55874,Tprnl plmt biodegrdabl matrl,  ,                                        ,ASC,1339,1/1/18,12/31/99, 
55875,Transperi needle place pros,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
56440,Surgery for vulva lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
56441,Lysis of labial lesion(s),  ,                                        ,ASC,333,10/1/08,12/31/99, 
56442,Hymenotomy,  ,                                        ,ASC,333,10/1/08,12/31/99, 
56515,Destroy vulva lesion/s compl,  ,                                        ,ASC,510,10/1/08,12/31/99, 
56620,Partial removal of vulva,  ,                                        ,ASC,717,10/1/08,12/31/99, 
56625,Complete removal of vulva,  ,                                        ,ASC,995,10/1/08,12/31/99, 
56700,Partial removal of hymen,  ,                                        ,ASC,333,10/1/08,12/31/99, 
56740,Remove vagina gland lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
56800,Repair of vagina,  ,                                        ,ASC,510,10/1/08,12/31/99, 
56810,Repair of perineum,  ,                                        ,ASC,717,10/1/08,12/31/99, 
57000,Exploration of vagina,  ,                                        ,ASC,333,10/1/08,12/31/99, 
57010,Drainage of pelvic abscess,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57020,Drainage of pelvic fluid,  ,                                        ,ASC,409.33,10/1/08,12/31/99, 
57023,I & d vag hematoma non-ob,  ,                                        ,ASC,333,10/1/08,12/31/99, 
57065,Destroy vag lesions complex,  ,                                        ,ASC,333,10/1/08,12/31/99, 
57105,Biopsy of vagina,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57130,Remove vagina lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57135,Remove vagina lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57155,Insert uteri tandem/ovoids,  ,                                        ,ASC,409.33,10/1/08,12/31/99, 
57180,Treat vaginal bleeding,  ,                                        ,ASC,178.05,10/1/08,12/31/99, 
57200,Repair of vagina,  ,                                        ,ASC,333,10/1/08,12/31/99, 
57210,Repair vagina/perineum,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57220,Revision of urethra,  ,                                        ,ASC,510,10/1/08,12/31/99, 
57230,Repair of urethral lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
57240,Anterior colporrhaphy,  ,                                        ,ASC,717,10/1/08,12/31/99, 
57250,Repair rectum & vagina,  ,                                        ,ASC,717,10/1/08,12/31/99, 
57260,Cmbn ant pst colprhy,  ,                                        ,ASC,717,10/1/08,12/31/99, 
57265,Cmbn ap colprhy w/ntrcl rpr,  ,                                        ,ASC,995,10/1/08,12/31/99, 
57267,Insert mesh/pelvic flr addon,  ,                                        ,ASC,995,10/1/08,12/31/99, 
57268,Repair of bowel bulge,  ,                                        ,ASC,510,10/1/08,12/31/99, 
57288,Repair bladder defect,  ,                                        ,ASC,717,10/1/08,12/31/99, 
57289,Repair bladder & vagina,  ,                                        ,ASC,717,10/1/08,12/31/99, 
57291,Construction of vagina,  ,                                        ,ASC,717,10/1/08,12/31/99, 
57300,Repair rectum-vagina fistula,  ,                                        ,ASC,510,10/1/08,12/31/99, 
57400,Dilation of vagina,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57410,Pelvic examination,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57415,Remove vaginal foreign body,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57513,Laser surgery of cervix,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57520,Conization of cervix,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57522,Conization of cervix,  ,                                        ,ASC,446,10/1/08,12/31/99, 
57530,Removal of cervix,  ,                                        ,ASC,510,10/1/08,12/31/99, 
57550,Removal of residual cervix,  ,                                        ,ASC,510,10/1/08,12/31/99, 
57556,Remove cervix repair bowel,  ,                                        ,ASC,717,10/1/08,12/31/99, 
57558,D&c of cervical stump,  ,                                        ,ASC,510,10/1/08,12/31/99, 
57700,Revision of cervix,  ,                                        ,ASC,333,10/1/08,12/31/99, 
57720,Revision of cervix,  ,                                        ,ASC,510,10/1/08,12/31/99, 
58120,Dilation and curettage,  ,                                        ,ASC,446,10/1/08,12/31/99, 
58145,Myomectomy vag method,  ,                                        ,ASC,717,10/1/08,12/31/99, 
58346,Insert heyman uteri capsule,  ,                                        ,ASC,446,10/1/08,12/31/99, 
58350,Reopen fallopian tube,  ,                                        ,ASC,510,10/1/08,12/31/99, 
58353,Endometr ablate thermal,  ,                                        ,ASC,995,10/1/08,12/31/99, 
58545,Laparoscopic myomectomy,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
58546,Laparo-myomectomy complex,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
58550,Laparo-asst vag hysterectomy,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
58555,Hysteroscopy dx sep proc,  ,                                        ,ASC,333,10/1/08,12/31/99, 
58558,Hysteroscopy biopsy,  ,                                        ,ASC,510,10/1/08,12/31/99, 
58559,Hysteroscopy lysis,  ,                                        ,ASC,446,10/1/08,12/31/99, 
58560,Hysteroscopy resect septum,  ,                                        ,ASC,510,10/1/08,12/31/99, 
58561,Hysteroscopy remove myoma,  ,                                        ,ASC,510,10/1/08,12/31/99, 
58562,Hysteroscopy remove fb,  ,                                        ,ASC,510,10/1/08,12/31/99, 
58563,Hysteroscopy ablation,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
58565,Hysteroscopy sterilization,  ,                                        ,ASC,1339,10/1/08,6/30/18, 
58575,Laps tot hyst resj mal,  ,                                        ,ASC,1339,1/1/18,12/31/99, 
58600,Division of fallopian tube,  ,                                        ,ASC,717,10/1/08,12/31/99, 
58615,Occlude fallopian tube(s),  ,                                        ,ASC,717,10/1/08,12/31/99, 
58660,Laparoscopy lysis,  ,                                        ,ASC,717,10/1/08,12/31/99, 
58661,Laparoscopy remove adnexa,  ,                                        ,ASC,717,10/1/08,12/31/99, 
58662,Laparoscopy excise lesions,  ,                                        ,ASC,717,10/1/08,12/31/99, 
58670,Laparoscopy tubal cautery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
58671,Laparoscopy tubal block,  ,                                        ,ASC,510,10/1/08,12/31/99, 
58672,Laparoscopy fimbrioplasty,  ,                                        ,ASC,717,10/1/08,12/31/99, 
58673,Laparoscopy salpingostomy,  ,                                        ,ASC,717,10/1/08,12/31/99, 
58674,Laps abltj uterine fibroids,  ,                                        ,ASC,4672.01,1/1/17,12/31/99, 
58800,Drainage of ovarian cyst(s),  ,                                        ,ASC,510,10/1/08,12/31/99, 
58820,Drain ovary abscess open,  ,                                        ,ASC,510,10/1/08,12/31/99, 
58900,Biopsy of ovary(s),  ,                                        ,ASC,510,10/1/08,12/31/99, 
59100,Remove uterus lesion,  ,                                        ,ASC,       MP,10/1/08,12/31/99, 
59160,D & c after delivery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
59320,Revision of cervix,  ,                                        ,ASC,333,10/1/08,12/31/99, 
59812,Treatment of miscarriage,  ,                                        ,ASC,717,10/1/08,12/31/99, 
59820,Care of miscarriage,  ,                                        ,ASC,717,10/1/08,12/31/99, 
59821,Treatment of miscarriage,  ,                                        ,ASC,717,10/1/08,12/31/99, 
59830,Treat uterus infection,  ,                                        ,ASC,446,10/1/08,12/31/99, 
59840,Abortion,  ,                                        ,ASC,717,10/1/08,12/31/99, 
59841,Abortion,  ,                                        ,ASC,1176.89,10/1/08,12/31/99, 
59850,Abortion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
59851,Abortion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
59852,Abortion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
59870,Evacuate mole of uterus,  ,                                        ,ASC,717,10/1/08,12/31/99, 
59871,Remove cerclage suture,  ,                                        ,ASC,717,10/1/08,12/31/99, 
60000,Drain thyroid/tongue cyst,  ,                                        ,ASC,333,10/1/08,12/31/99, 
60200,Remove thyroid lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
60280,Remove thyroid duct lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
60281,Remove thyroid duct lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
61020,Remove brain cavity fluid,  ,                                        ,ASC,183.83,10/1/08,12/31/99, 
61026,Injection into brain canal,  ,                                        ,ASC,183.83,10/1/08,12/31/99, 
61050,Remove brain canal fluid,  ,                                        ,ASC,183.83,10/1/08,12/31/99, 
61055,Injection into brain canal,  ,                                        ,ASC,183.83,10/1/08,12/31/99, 
61070,Brain canal shunt procedure,  ,                                        ,ASC,183.83,10/1/08,12/31/99, 
61215,Insert brain-fluid device,  ,                                        ,ASC,510,10/1/08,12/31/99, 
61781,Scan proc cranial intra,  ,                                        ,ASC,302.04,1/1/11,12/31/99, 
61782,Scan proc cranial extra,  ,                                        ,ASC,302.04,1/1/11,12/31/99, 
61783,Scan proc spinal,  ,                                        ,ASC,302.04,1/1/11,12/31/99, 
61790,Treat trigeminal nerve,  ,                                        ,ASC,510,10/1/08,12/31/99, 
61791,Treat trigeminal tract,  ,                                        ,ASC,351.92,10/1/08,12/31/99, 
61885,Insrt/redo neurostim 1 array,  ,                                        ,ASC,446,10/1/08,12/31/99, 
61886,Implant neurostim arrays,  ,                                        ,ASC,510,10/1/08,12/31/99, 
61888,Revise/remove neuroreceiver,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62194,Replace/irrigate catheter,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62225,Replace/irrigate catheter,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62230,Replace/revise brain shunt,  ,                                        ,ASC,446,10/1/08,12/31/99, 
62263,Epidural lysis mult sessions,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62264,Epidural lysis on single day,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62268,Drain spinal cord cyst,  ,                                        ,ASC,183.83,10/1/08,12/31/99, 
62269,Needle biopsy spinal cord,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62270,Dx lmbr spi pnxr,  ,                                        ,ASC,139,10/1/08,12/31/99, 
62272,Ther spi pnxr drg csf,  ,                                        ,ASC,139,10/1/08,12/31/99, 
62273,Inject epidural patch,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62280,Treat spinal cord lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62281,Treat spinal cord lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62282,Treat spinal canal lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
62287,Percutaneous diskectomy,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
62294,Injection into spinal artery,  ,                                        ,ASC,183.83,10/1/08,12/31/99, 
62320,Njx interlaminar crv/thrc,  ,                                        ,ASC,289.93,1/1/17,12/31/99, 
62321,Njx interlaminar crv/thrc,  ,                                        ,ASC,289.93,1/1/17,12/31/99, 
62322,Njx interlaminar lmbr/sac,  ,                                        ,ASC,289.93,1/1/17,12/31/99, 
62323,Njx interlaminar lmbr/sac,  ,                                        ,ASC,289.93,1/1/17,12/31/99, 
62324,Njx interlaminar crv/thrc,  ,                                        ,ASC,365.24,1/1/17,12/31/99, 
62325,Njx interlaminar crv/thrc,  ,                                        ,ASC,365.24,1/1/17,12/31/99, 
62326,Njx interlaminar lmbr/sac,  ,                                        ,ASC,365.24,1/1/17,12/31/99, 
62327,Njx interlaminar lmbr/sac,  ,                                        ,ASC,365.24,1/1/17,12/31/99, 
62328,Dx lmbr spi pnxr w/fluor/ct,  ,                                        ,ASC,139,1/1/20,12/31/99, 
62329,Ther spi pnxr csf fluor/ct,  ,                                        ,ASC,139,1/1/20,12/31/99, 
62350,Implant spinal canal cath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
62355,Remove spinal canal catheter,  ,                                        ,ASC,446,10/1/08,12/31/99, 
62360,Insert spine infusion device,  ,                                        ,ASC,446,10/1/08,12/31/99, 
62361,Implant spine infusion pump,  ,                                        ,ASC,446,10/1/08,12/31/99, 
62362,Implant spine infusion pump,  ,                                        ,ASC,446,10/1/08,12/31/99, 
62365,Remove spine infusion device,  ,                                        ,ASC,446,10/1/08,12/31/99, 
63600,Remove spinal cord lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
63610,Stimulation of spinal cord,  ,                                        ,ASC,333,10/1/08,12/31/99, 
63650,Implant neuroelectrodes,  ,                                        ,ASC,446,10/1/08,12/31/99, 
63661,Remove spine eltrd perq aray,  ,                                        ,ASC,245.25,1/1/10,12/31/99, 
63662,Remove spine eltrd plate,  ,                                        ,ASC,245.25,1/1/10,12/31/99, 
63663,Revise spine eltrd perq aray,  ,                                        ,ASC,232.28,1/1/10,12/31/99, 
63664,Revise spine eltrd plate,  ,                                        ,ASC,333,1/1/10,12/31/99, 
63685,Insrt/redo spine n generator,  ,                                        ,ASC,446,10/1/08,12/31/99, 
63688,Revise/remove neuroreceiver,  ,                                        ,ASC,333,10/1/08,12/31/99, 
63744,Revision of spinal shunt,  ,                                        ,ASC,510,10/1/08,12/31/99, 
63746,Removal of spinal shunt,  ,                                        ,ASC,446,10/1/08,12/31/99, 
64410,N block inj phrenic,  ,                                        ,ASC,333,10/1/08,12/31/19, 
64415,Njx aa&/strd brach plexus,  ,                                        ,ASC,139,10/1/08,12/31/99, 
64417,Njx aa&/strd axillary nrv,  ,                                        ,ASC,139,10/1/08,12/31/99, 
64420,Njx aa&/strd ntrcost nrv 1,  ,                                        ,ASC,139,10/1/08,12/31/99, 
64421,Njx aa&/strd ntrcost nrv ea,  ,                                        ,ASC,333,10/1/08,12/31/99, 
64430,Njx aa&/strd pudendal nerve,  ,                                        ,ASC,139,10/1/08,12/31/99, 
64451,Njx aa&/strd nrv nrvtg si jt,  ,                                        ,ASC,333,1/1/20,12/31/99, 
64454,Njx aa&/strd gnclr nrv brnch,  ,                                        ,ASC,139,1/1/20,12/31/99, 
